log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency,Layer 1 Hidden Covariance,Layer 2 Hidden Covariance,Layer 3 Hidden Covariance
log_stats_model_1010707_2020-04-15_17-18-18_999907798.json,4.847825134,127.4628735,6.993933279,566.3277204,2514653,-71.13723408,0.501982045,48.99888879,0.999812736,35207776566,0.063721498,115528.3125,-13292.80842,-12972.88596,-4226.973105
log_stats_model_1010708_2020-04-11_08-16-33_999929202.json,4.65845171,105.4726534,6.72072518,498.6039459,13104984,-71.03326127,0.501429295,142.242332,0.999708177,35911370522,0.064288804,486504.2188,-221625.7741,-4509311.682,-9575795.132
log_stats_model_1010709_2020-04-18_04-06-09_999953445.json,4.672732455,106.9896879,6.74132794,516.115291,1478013.125,-71.08312952,0.513179753,4.743894081,0.998442236,25816652.6,0.07173741,82675.625,-5802.804791,-27131.80585,-122507.8735
log_stats_model_1010710_2020-04-17_20-02-35_999910152.json,5.123965365,168.0002328,7.392319422,442.4173806,20937774,-71.09148987,0.500000306,141959.9425,0.999999961,7.93E+24,0.062500279,802532.6875,-760541.5767,-1438717.448,-359121.9297
log_stats_model_1010711_2020-04-14_09-15-56_999973505.json,5.167948602,175.5543361,7.45577382,384.277943,4608402,-71.01271806,0.500004278,64308.45092,0.999998614,1.26E+20,0.062520345,755530.9375,-8587548.255,-43202296.91,-38930243.57
log_stats_model_1010712_2020-04-16_12-48-47_999938977.json,4.952551388,141.5356159,7.145021327,429.1861262,8993589,-71.1297057,0.500007894,36463.76729,0.999997468,1.21E+19,0.062535833,698873.8125,-141584.6555,-503028.6294,-336546.1163
log_stats_model_1010714_2020-04-15_19-31-52_999908829.json,5.03005063,152.9407558,7.256829099,484.2654289,2825147,-71.10726427,0.500000396,321328.9202,0.999999867,4.61E+23,0.062502027,823247.5,-3486779.442,-23188722.67,-30279795.01
log_stats_model_1010715_2020-04-21_05-08-32_999930973.json,5.02449643,152.0936471,7.248816083,284.2649228,2060672.875,-71.1440389,0.500000386,311637.4614,0.999999879,5.21E+23,0.062501909,832223.1875,-3562468.892,-23272578.6,-30411452.4
log_stats_model_1010719_2020-04-21_16-51-28_999917376.json,4.907211748,135.2617443,7.079610054,541.177515,871658.625,-71.08292706,0.501828513,60.25707537,0.999804686,41150481765,0.063709551,93931.72656,-20265.50746,-18490.14828,-5387.204829
log_stats_model_1010720_2020-04-14_05-16-06_999994602.json,4.6617802,105.824303,6.725527176,546.4227374,2521156.5,-71.09883815,0.508097285,9.184809515,0.999170237,95695954.84,0.068232517,95976.375,-6910.87667,-25417.85931,-61127.45778
