log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synflow Saliency, Layer 1 Hidden Covariance, Layer 2 Hidden Covariance, Layer 3 Hidden Covariance
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,586.4137961,88327.78125,-214.3369032,0.504483296,-19.89671178,0.999553785,1073258817,0.065263942,705804.875,-13565.56627,-14292.07052,-5306.142477
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.3222833,77580.73438,-162.4305735,0.505846654,-12.70821696,0.999479748,384530171.9,0.066072214,682297.8125,-13561.49404,-14194.22426,-5322.386971
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.5713703,80189.82813,-179.672427,0.50528349,-15.88920409,0.99948468,518428550.9,0.065839078,649121.1875,-13534.22167,-14212.82422,-5276.65127
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.5376993,67595.17188,-207.3993482,0.504630019,-18.25475986,0.999567042,921568076.4,0.065385321,679714.875,-13436.94004,-13497.55623,-5238.682175
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.5527655,84835.85938,-178.6812824,0.505334819,-13.89392595,0.999544867,554133855.2,0.065752612,668030.9375,-13174.1215,-13939.19676,-5177.134558
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.0875811,94162.89844,-208.4288799,0.504592955,-18.35423823,0.999565863,928245784.6,0.065375578,707727.75,-13250.32039,-13797.81407,-5145.43929
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,586.6132425,76111.5,-218.0038389,0.504401916,-20.60626703,0.99955642,1058874374,0.065299166,655962.6875,-13480.86698,-14670.76924,-5453.74929
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,586.387747,74333.63281,-169.4745196,0.50561688,-15.33912163,0.999429737,418007575.6,0.066038868,644885.6875,-13556.24586,-14391.79419,-5238.204964
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,586.9792074,76272.46875,-212.043755,0.504538382,-18.00285573,0.999591567,1017581163,0.065312949,682664.625,-13075.79303,-14285.25713,-5242.137562
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,580.995385,423473.375,-1041276.243,0.500000926,-252664.3781,0.999999624,6.45E+21,0.062520137,661657.375,-8280.362776,-13875.1204,-7697.727077
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,579.3551999,441632.3125,-862048.6609,0.500001187,-213645.7431,0.999999529,3.33E+21,0.062522119,728714.8125,-8141.427243,-13707.18611,-7912.785711
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,581.9542951,321185.7188,-1023875.403,0.500000949,-249592.4585,0.999999614,6.08E+21,0.062520258,694969.3125,-8220.381953,-13524.41859,-7059.257293
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,582.1098382,339564.625,-1166473.382,0.500000801,-278929.178,0.99999967,9.57E+21,0.062519233,669126.75,-8212.751492,-14085.04794,-7369.496224
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,581.8898698,373291.2813,-1055813.231,0.500000916,-257348.591,0.999999628,6.88E+21,0.062519678,698020,-8263.076356,-13316.86524,-7556.47165
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,581.9376594,370696.9688,-1034210.046,0.500000935,-250394.9164,0.999999611,6.25E+21,0.062520447,671965.25,-8111.090232,-13486.26738,-7415.51707
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,581.5680196,409671.6563,-1001915.073,0.500000974,-245613.5519,0.9999996,5.14E+21,0.062522418,677975.5625,-8322.358917,-13925.08425,-7607.724759
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,581.481377,384221.9063,-886504.7235,0.500001144,-221547.835,0.999999537,3.72E+21,0.062521471,664610.1875,-8082.305969,-13402.28796,-7574.264274
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,579.1267508,494534.25,-1049715.689,0.500000917,-253642.557,0.999999622,6.66E+21,0.062520072,727780.5625,-8322.767154,-14003.3596,-8226.335342
log_stats_model_1011260_2020-04-15_13-12-42_999971989.json,4.8541959,128.2775018,7.003124353,579.7292112,461696.2813,-869116.9499,0.500001166,-212962.0112,0.999999538,3.44E+21,0.062522003,690994.375,-8199.666185,-13677.68781,-7526.322791
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,573.7860608,10020.12305,-67.31023298,0.517350301,-2.168246775,0.99831818,15641469.03,0.074248264,213936.2969,-3317.220887,-4935.84157,-11378.40187
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,573.8608873,10762.49512,-66.04865918,0.517995295,-2.173816873,0.998098359,14591854.26,0.074945861,210026.5,-3087.93305,-5167.410804,-9431.434491
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,576.1420512,8508.554688,-64.30227216,0.519069206,-1.733020448,0.998104032,13529320.66,0.075456277,199432.7656,-3322.540667,-4863.681483,-7102.445353
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,574.9877691,9660.704102,-69.70447501,0.516250211,-3.290042207,0.998007438,16916587.22,0.074198723,208038.7188,-3439.914816,-4784.790858,-8481.154626
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,574.9953425,8104.761719,-63.88530335,0.519316086,-2.204700736,0.997623767,13030665.4,0.07608346,183013.3438,-3448.923155,-5102.461842,-7182.502695
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,574.3056075,9254.021484,-67.97263976,0.51700969,-3.297622291,0.997682687,15705206.96,0.074454081,199051.4531,-3262.60323,-5298.766685,-7560.523057
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,574.6166737,10591.28906,-69.52850023,0.516354728,-3.22520068,0.998025782,16858476.17,0.074108776,217649.0625,-3380.578829,-5437.61775,-7291.175632
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,575.2573501,9267.856445,-63.35834927,0.519735977,-1.653386969,0.998024437,12876405.75,0.075999653,202558.2969,-3308.921136,-4621.104646,-8367.813738
log_stats_model_1002763_2020-04-22_17-21-45_999986705.json,4.895079085,133.6305744,7.062106321,575.4636223,8344.707031,-65.31728616,0.518437713,-2.214932804,0.997929233,14182915.17,0.074941404,197396.0781,-3351.848137,-5088.00134,-8211.68775
